Aaron Aar,Aarrie
Abel Ab,Abbie
Abraham Abe,Bram,Ab,Abbie
Adam Ad,Addie
Adela Della,Ad,Addie
Adele Ad,Addie
Adelina Lina,Ad,Addie
Adeline Lina,Ad,Addie
Adi Ad
Adina Ad,Addie
Adolf Ad,Addie
Adolfo Ad,Addie
Adolphe Ad,Addie
Adrien Ad,Addie
Adrienne Ad,Addie
Aida Aid,Aiddie
Aileen Lina,Ail,Aillie
Aimee Aim
Ainsley Ains,Ainsie,Ain,Ainnie
Alan Al,Allie
Alba Alb,Albie,Al,Allie
Albert Bert,Bertie,Alb,Albie,Al,Allie
Albertine Bert,Bertie,Alb,Albie,Al,Allie
Alberto Bert,Bertie,Alb,Albie,Al,Allie
Albin Alb,Albie,Al,Allie
Albina Alb,Albie,Al,Allie
Alcide Alc,Alcie,Al,Allie
Ale
Alejandro Al,Allie
Alex Al,Allie
Alexander Alex,Al,Allie
Alexis Al,Allie
Alfonso Alf,Alfie,Al,Allie
Alfred Fred,Alf,Alfie,Al,Allie
Alfredo Alf,Alfie,Al,Allie
Alice Al,Allie
Alicia Al,Allie
Aline Al,Allie
Alix Al,Allie
Alma Alm,Almie,Al,Allie
Alonzo Al,Allie
Alphonse Alph,Alphie,Al,Allie
Alphonsine Alph,Alphie,Al,Allie
Amado Am,Ammie
Amalia Am,Ammie
Amanda Mandy,Am,Ammie
Ambrose Amb,Ambie,Am,Ammie
Amelia Am,Ammie
Amelie Am,Ammie
Ami Am
Amit Am,Ammie
Amos Am,Ammie
Amy Am
Ana An,Annie
Anatole An,Annie
Andre And,Andie,An,Annie
Andrea And,Andie,An,Annie
Andrew And,Andie,An,Annie
Ange An,Annie
Angel Ang,An,Annie
Angela Angie,Ang,An,Annie
Angele Angie,Ang,An,Annie
Angeline Angie,Ang,An,Annie
Angus Ang,An,Annie
Anita An,Annie
Ann Annie,An
Anna Ann,Annie,An
Anne An
Annette Ann,Annie,An
Anthony Tony,Anth,Anthie,An,Annie
Antoine Ant,Antie,An,Annie
Antoinette Ant,Antie,An,Annie
